sn85025905,Selma,AL,32.4117889404,-87.0222320557
sn82015209,Chattanooga,TN,35.0464401245,-85.309463501
sn82014371,Griffin,GA,33.2471008301,-84.263458252
sn83045160,Memphis,TN,35.1497612,-90.0492477417
sn94051341,Holbrook,AZ,34.9018096924,-110.160087585
sn82016246,PeachSprings,AZ,34.2929649353,-111.66469574
sn82014896,Tucson,AZ,32.2215499878,-110.96975708
sn94050505,Bisbee,AZ,31.4418296814,-109.914451599
sn95060900,Tombstone,AZ,31.7142791748,-110.068328857
sn82016242,FortWhipple,AZ,34.5461654663,-112.457115173
sn84020558,Phoenix,AZ,33.4482498169,-112.075798035
sn95060876,Yuma,AZ,32.6848487854,-114.624610901
sn95060877,Yuma,AZ,32.6848487854,-114.624610901
sn95060878,Yuma,AZ,32.6848487854,-114.624610901
sn84021912,Yuma,AZ,32.6848487854,-114.624610901
sn84021913,GlobeCity,AZ,34.2929649353,-111.66469574
sn82015133,Tucson,AZ,32.2215499878,-110.96975708
sn94052364,Florence,AZ,33.03881073,-111.387542725
sn85032938,Prescott,AZ,34.5414199829,-112.468727112
sn82014898,Prescott,AZ,34.5414199829,-112.468727112
sn89077833,Phoenix,AZ,33.4482498169,-112.075798035
sn84024827,Bisbee,AZ,31.4418296814,-109.914451599
sn96060796,Nogales,AZ,31.3378295898,-110.940063477
sn94050557,Clifton,AZ,33.0475692749,-109.293930054
sn94050506,Bisbee,AZ,31.4418296814,-109.914451599
sn94050513,Bisbee,AZ,31.4418296814,-109.914451599
sn87062055,Flagstaff,AZ,35.1982002258,-111.651298523
sn82016245,Flagstaff,AZ,35.1982002258,-111.651298523
sn87062054,Flagstaff,AZ,35.1982002258,-111.651298523
sn94050892,Clifton,AZ,33.0475692749,-109.293930054
sn89053851,Clifton,AZ,33.0475692749,-109.293930054
sn87082863,Globe,AZ,33.3957595825,-110.789123535
sn96060682,Tombstone,AZ,31.7142791748,-110.068328857
sn94052361,Tombstone,AZ,31.7142791748,-110.068328857
sn94050554,Flagstaff,AZ,35.1982002258,-111.651298523
sn94050572,Florence,AZ,33.03881073,-111.387542725
sn95070521,Tucson,AZ,32.2215499878,-110.96975708
sn95060914,Safford,AZ,32.8343696594,-109.708259583
sn94051342,Holbrook,AZ,34.9018096924,-110.160087585
sn95060791,Holbrook,AZ,34.9018096924,-110.160087585
sn96060547,Kingman,AZ,35.1888198853,-114.055427551
sn84024828,MineralPark,AZ,34.2929649353,-111.66469574
sn85032933,Arizola,AZ,32.8552207947,-111.721237183
sn87062082,Phoenix,AZ,33.4482498169,-112.075798035
sn83025460,Phoenix,AZ,33.4482498169,-112.075798035
sn2004060008,Safford,AZ,32.8343696594,-109.708259583
sn87062081,Phoenix,AZ,33.4482498169,-112.075798035
sn94050555,Flagstaff,AZ,35.1982002258,-111.651298523
sn95060581,StJohns,AZ,34.5067596436,-109.365592957
